epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.761,0.81367,0.83448,1.1895,0.96977,0.98954,0.98687,0.86855,0.52592,0.28313,1.00427,0.000474644,0.000474644,0.000474644
2,381.412,0.79866,0.76042,1.17308,0.99051,0.93425,0.96571,0.85752,0.5541,0.30966,1.01405,0.000921557,0.000921557,0.000921557
3,554.242,0.82124,0.78489,1.18431,0.97299,0.97832,0.98512,0.84433,0.62279,0.34718,1.06187,0.001339,0.001339,0.001339
4,725.015,0.84532,0.79691,1.19325,0.9845,0.9729,0.98274,0.83655,0.57448,0.36576,1.01427,0.00129637,0.00129637,0.00129637
5,895.083,0.82228,0.78618,1.18557,0.99137,0.98705,0.99001,0.84075,0.573,0.33147,1.01535,0.00125216,0.00125216,0.00125216
6,1063.47,0.8187,0.77599,1.178,0.98788,0.98943,0.99152,0.86508,0.55274,0.31271,1.01894,0.00120795,0.00120795,0.00120795
7,1230.29,0.82126,0.78608,1.18503,0.97021,0.99292,0.98851,0.85679,0.55304,0.31428,0.99874,0.00116374,0.00116374,0.00116374
8,1397.52,0.80293,0.76058,1.16714,0.968,0.96882,0.98082,0.86258,0.555,0.31374,0.99997,0.00111953,0.00111953,0.00111953
9,1564.06,0.79828,0.74743,1.16745,0.98693,0.96611,0.98128,0.87503,0.53047,0.30292,0.98553,0.00107532,0.00107532,0.00107532
10,1729.3,0.7925,0.76488,1.16481,0.97173,0.95924,0.98296,0.86538,0.54399,0.30262,1.0078,0.00103111,0.00103111,0.00103111
11,1894.88,0.78161,0.75582,1.16077,0.99233,0.99474,0.9939,0.87701,0.5233,0.29253,0.99505,0.000986903,0.000986903,0.000986903
12,2062.13,0.78115,0.73748,1.15767,0.97866,0.98493,0.98597,0.8442,0.54042,0.32787,0.99544,0.000942693,0.000942693,0.000942693
13,2228.27,0.77188,0.73659,1.15556,0.99121,0.98819,0.99045,0.87746,0.4955,0.29014,0.96669,0.000898484,0.000898484,0.000898484
14,2394.75,0.758,0.72279,1.14687,0.99029,0.99383,0.99272,0.87559,0.49464,0.28198,0.97487,0.000854274,0.000854274,0.000854274
15,2561.52,0.75339,0.71972,1.14402,0.99075,0.9938,0.99314,0.88551,0.4808,0.27927,0.95812,0.000810064,0.000810064,0.000810064
16,2727.59,0.74242,0.70669,1.13437,0.99183,0.99427,0.99323,0.87271,0.50035,0.27825,0.99261,0.000765855,0.000765855,0.000765855
17,2892.95,0.74338,0.70927,1.13511,0.99325,0.99427,0.99339,0.89373,0.45792,0.27085,0.94427,0.000721645,0.000721645,0.000721645
18,3058.24,0.72966,0.70257,1.13154,0.99462,0.99386,0.99324,0.88612,0.45728,0.26701,0.94266,0.000677435,0.000677435,0.000677435
19,3223.19,0.72374,0.68886,1.12727,0.99317,0.99292,0.99224,0.88815,0.46288,0.27962,0.94124,0.000633226,0.000633226,0.000633226
20,3393.06,0.72369,0.69312,1.12499,0.99472,0.99518,0.99412,0.88855,0.45242,0.26774,0.94547,0.000589016,0.000589016,0.000589016
21,3562.4,0.7044,0.67495,1.11667,0.99383,0.99463,0.99377,0.89869,0.43533,0.26238,0.93087,0.000544806,0.000544806,0.000544806
22,3734.15,0.70966,0.68581,1.12066,0.99473,0.99615,0.9944,0.90603,0.44408,0.24693,0.93824,0.000500597,0.000500597,0.000500597
23,3899.89,0.48798,0.31927,0.99846,0.98354,0.99756,0.99456,0.89241,0.4465,0.25522,0.93401,0.000456387,0.000456387,0.000456387
24,4062.35,0.47745,0.30667,0.9907,0.99616,0.99662,0.99442,0.905,0.4289,0.25335,0.92249,0.000412177,0.000412177,0.000412177
25,4226.58,0.46832,0.2946,0.98574,0.99413,0.99477,0.9937,0.89539,0.42404,0.25345,0.91812,0.000367967,0.000367967,0.000367967
26,4390.45,0.46014,0.28909,0.97958,0.99577,0.99654,0.99399,0.9079,0.4178,0.23527,0.91728,0.000323758,0.000323758,0.000323758
27,4554.37,0.44876,0.28517,0.97607,0.99613,0.99759,0.99449,0.90061,0.40972,0.23856,0.91027,0.000279548,0.000279548,0.000279548
28,4715.63,0.4459,0.28168,0.97267,0.99573,0.98557,0.98977,0.903,0.40273,0.23638,0.90779,0.000235338,0.000235338,0.000235338
29,4878.84,0.43606,0.27582,0.96455,0.99516,0.99568,0.99448,0.89681,0.41375,0.22515,0.91831,0.000191129,0.000191129,0.000191129
30,5039.82,0.42779,0.26832,0.96112,0.99608,0.99712,0.99451,0.90911,0.39763,0.22907,0.90376,0.000146919,0.000146919,0.000146919
31,5198.91,0.42215,0.26904,0.95767,0.99707,0.99712,0.99417,0.90472,0.39274,0.23161,0.90076,0.000102709,0.000102709,0.000102709
32,5358.22,0.41565,0.26254,0.95161,0.99756,0.99806,0.99431,0.9112,0.3923,0.22614,0.9019,5.84997e-05,5.84997e-05,5.84997e-05
