epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.5124,1.34926,1.44278,1.57884,0,0,0,0,0,0,0,0.000470226,0.000470226,0.000470226
2,138.443,1.25,1.21902,1.4882,0,0,0,0,0,0,0,0.000884087,0.000884087,0.000884087
3,205.837,1.25338,1.2421,1.49603,0,0,0,0,0,0,0,0.00123507,0.00123507,0.00123507
4,327.819,1.21792,1.23596,1.46769,0,0,0,0,0,0,0,0.00114606,0.00114606,0.00114606
5,396.328,1.20523,1.17529,1.46518,0,0,0,0,0,0,0,0.00105174,0.00105174,0.00105174
6,464.821,0.94477,0.75687,1.39002,0,0,0,0,0,0,0,0.00095743,0.00095743,0.00095743
7,532.276,0.91287,0.69862,1.35378,0,0,0,0,0,0,0,0.000863116,0.000863116,0.000863116
8,600.291,0.89778,0.67726,1.34032,0,0,0,0,0,0,0,0.000768802,0.000768802,0.000768802
9,669.436,0.84918,0.61645,1.28755,0,0,0,0,0,0,0,0.000674488,0.000674488,0.000674488
10,738.419,0.79064,0.60187,1.23239,0,0,0,0,0,0,0,0.000580174,0.000580174,0.000580174
11,809.873,0.76825,0.54863,1.22117,0,0,0,0,0,0,0,0.00048586,0.00048586,0.00048586
12,882.734,0.74061,0.54005,1.19422,0,0,0,0,0,0,0,0.000391546,0.000391546,0.000391546
13,954.798,0.7231,0.53084,1.19771,0,0,0,0,0,0,0,0.000297232,0.000297232,0.000297232
14,1027.69,0.70543,0.51563,1.19116,0,0,0,0,0,0,0,0.000202918,0.000202918,0.000202918
15,1120.39,0.68288,0.47972,1.17114,0.99697,0.95785,0.97672,0.79198,0.69614,0.45097,1.14233,0.000108604,0.000108604,0.000108604
