epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.191,0.83146,0.80016,1.14409,0,0,0,0,0,0,0,0.000470226,0.000470226,0.000470226
2,90.2928,0.94158,0.88623,1.21499,0,0,0,0,0,0,0,0.00085285,0.00085285,0.00085285
3,135.824,0.94783,0.87362,1.2276,0,0,0,0,0,0,0,0.00114116,0.00114116,0.00114116
4,181.771,0.92524,0.845,1.20946,0,0,0,0,0,0,0,0.00100459,0.00100459,0.00100459
5,227.541,0.88113,0.799,1.17682,0,0,0,0,0,0,0,0.000863116,0.000863116,0.000863116
6,274.224,0.86292,0.77063,1.16995,0,0,0,0,0,0,0,0.000721645,0.000721645,0.000721645
7,321.52,0.83259,0.71852,1.14652,0,0,0,0,0,0,0,0.000580174,0.000580174,0.000580174
8,369.261,0.79523,0.68332,1.11876,0,0,0,0,0,0,0,0.000438703,0.000438703,0.000438703
9,417.198,0.75964,0.64892,1.09805,0,0,0,0,0,0,0,0.000297232,0.000297232,0.000297232
10,478.513,0.70621,0.63011,1.07546,1,0.88444,0.94051,0.75051,0.68947,0.60054,1.02795,0.000155761,0.000155761,0.000155761
