epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.5016,1.08574,1.08156,1.33254,0.93019,0.95427,0.95687,0.67801,0.77051,0.48791,1.18456,0.000469982,0.000469982,0.000469982
2,158.799,1.09499,1.02091,1.3565,0.83177,0.93172,0.89254,0.64109,0.85432,0.54212,1.26598,0.000899473,0.000899473,0.000899473
3,235.431,1.10288,1.00959,1.35713,0.9178,0.92338,0.91533,0.66143,0.8255,0.54462,1.24808,0.00128181,0.00128181,0.00128181
4,313.487,1.11403,1.03277,1.36587,0.82397,0.8569,0.87067,0.5977,0.87238,0.62117,1.25893,0.00121679,0.00121679,0.00121679
5,394.225,1.09762,1.01813,1.36151,0.90527,0.9151,0.91372,0.64385,0.85809,0.55744,1.25912,0.00114606,0.00114606,0.00114606
6,472.642,1.06532,1.02247,1.3301,0.97279,0.96243,0.97507,0.69678,0.80829,0.54564,1.20329,0.00107532,0.00107532,0.00107532
7,556.893,1.07246,1.02112,1.33076,0.88886,0.88427,0.90297,0.64451,0.83736,0.47583,1.24831,0.00100459,0.00100459,0.00100459
8,638.005,1.03208,0.95218,1.31456,0.87549,0.87913,0.90675,0.63335,0.84313,0.71121,1.23324,0.000933851,0.000933851,0.000933851
9,716.462,1.04654,1.0057,1.33808,0.91169,0.8982,0.92353,0.63886,0.8198,0.52254,1.2283,0.000863116,0.000863116,0.000863116
10,797.518,1.02123,0.93907,1.30652,0.93824,0.96694,0.97271,0.69284,0.77825,0.48097,1.19129,0.00079238,0.00079238,0.00079238
11,881.397,0.76379,0.54757,1.18506,0.9259,0.90962,0.93418,0.67221,0.82372,0.49164,1.2174,0.000721645,0.000721645,0.000721645
12,963.105,0.74549,0.52019,1.17599,0.95413,0.9599,0.96937,0.69315,0.7334,0.4725,1.14297,0.000650909,0.000650909,0.000650909
13,1044.27,0.71035,0.47817,1.16483,0.9673,0.97257,0.97652,0.73477,0.72869,0.429,1.13635,0.000580174,0.000580174,0.000580174
14,1126.4,0.72257,0.48626,1.15648,0.91324,0.93413,0.93875,0.68854,0.73778,0.44863,1.16143,0.000509438,0.000509438,0.000509438
15,1210,0.68341,0.46496,1.13941,0.93604,0.94143,0.94947,0.68536,0.76614,0.42828,1.19039,0.000438703,0.000438703,0.000438703
16,1292.67,0.67092,0.44544,1.12408,0.96542,0.97065,0.96797,0.71013,0.70585,0.40887,1.12924,0.000367967,0.000367967,0.000367967
17,1377.08,0.65814,0.43983,1.11182,0.96701,0.97257,0.97647,0.74012,0.70355,0.39931,1.13338,0.000297232,0.000297232,0.000297232
18,1464.45,0.63908,0.43141,1.11192,0.97257,0.97197,0.97667,0.72458,0.70476,0.40543,1.12968,0.000226497,0.000226497,0.000226497
19,1555.02,0.61854,0.41369,1.09856,0.97081,0.97244,0.97695,0.7302,0.68731,0.39066,1.12125,0.000155761,0.000155761,0.000155761
20,1645.88,0.61476,0.40576,1.07839,0.97066,0.97244,0.97665,0.73529,0.6753,0.38609,1.11462,8.50255e-05,8.50255e-05,8.50255e-05
