epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.5833,0.82967,0.6363,1.14889,0,0,0,0,0,0,0,0.000470226,0.000470226,0.000470226
2,89.7554,0.90514,0.68092,1.20105,0,0,0,0,0,0,0,0.00085285,0.00085285,0.00085285
3,134.177,0.92824,0.73068,1.22132,0,0,0,0,0,0,0,0.00114116,0.00114116,0.00114116
4,178.885,0.95642,0.75411,1.23846,0,0,0,0,0,0,0,0.00100459,0.00100459,0.00100459
5,223.819,0.91607,0.71139,1.20376,0,0,0,0,0,0,0,0.000863116,0.000863116,0.000863116
6,269.596,0.87968,0.65655,1.18831,0,0,0,0,0,0,0,0.000721645,0.000721645,0.000721645
7,318.617,0.87565,0.67719,1.17795,0,0,0,0,0,0,0,0.000580174,0.000580174,0.000580174
8,369.959,0.83962,0.63771,1.1609,0,0,0,0,0,0,0,0.000438703,0.000438703,0.000438703
9,420.154,0.80183,0.61592,1.13274,0,0,0,0,0,0,0,0.000297232,0.000297232,0.000297232
10,484.626,0.77374,0.5914,1.1126,0.98697,0.90667,0.94883,0.70503,0.80623,0.58489,1.11522,0.000155761,0.000155761,0.000155761
