epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.6536,1.14202,1.04979,1.31336,0,0,0,0,0,0,0,0.000472492,0.000472492,0.000472492
2,150.207,1.18066,1.08704,1.32578,0,0,0,0,0,0,0,0.000886203,0.000886203,0.000886203
3,224.988,1.19683,1.12217,1.33235,0,0,0,0,0,0,0,0.00123704,0.00123704,0.00123704
4,302.842,1.19606,1.11373,1.33845,0,0,0,0,0,0,0,0.00114606,0.00114606,0.00114606
5,382.354,1.18076,1.09311,1.33185,0,0,0,0,0,0,0,0.00105174,0.00105174,0.00105174
6,460.911,0.80093,0.69655,1.13617,0,0,0,0,0,0,0,0.00095743,0.00095743,0.00095743
7,538.594,0.77099,0.68518,1.10898,0,0,0,0,0,0,0,0.000863116,0.000863116,0.000863116
8,622.206,0.76903,0.65724,1.11162,0,0,0,0,0,0,0,0.000768802,0.000768802,0.000768802
9,707.645,0.72421,0.63552,1.09004,0,0,0,0,0,0,0,0.000674488,0.000674488,0.000674488
10,794.11,0.71729,0.60212,1.088,0,0,0,0,0,0,0,0.000580174,0.000580174,0.000580174
11,882.906,0.69646,0.59682,1.07482,0,0,0,0,0,0,0,0.00048586,0.00048586,0.00048586
12,968.618,0.66618,0.59358,1.05957,0,0,0,0,0,0,0,0.000391546,0.000391546,0.000391546
13,1056.33,0.64762,0.55796,1.04801,0,0,0,0,0,0,0,0.000297232,0.000297232,0.000297232
14,1145.33,0.61601,0.55366,1.02572,0,0,0,0,0,0,0,0.000202918,0.000202918,0.000202918
15,1256.44,0.60249,0.55026,1.02569,0.99515,0.89167,0.94299,0.77892,0.59387,0.52713,0.97773,0.000108604,0.000108604,0.000108604
