epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.404,0.98598,0.98832,1.29936,0.99071,0.9919,0.99265,0.81894,0.69256,0.42205,1.11409,0.000474428,0.000474428,0.000474428
2,324.317,0.98534,0.92063,1.29505,0.97006,0.99031,0.99136,0.79029,0.74915,0.42951,1.16336,0.000903699,0.000903699,0.000903699
3,470.341,0.98846,0.92895,1.29285,0.95599,0.96513,0.97535,0.76113,0.77324,0.48809,1.18459,0.00128581,0.00128581,0.00128581
4,615.073,1.01288,0.92295,1.3069,0.96285,0.93708,0.95906,0.75748,0.78679,0.53942,1.20278,0.00121679,0.00121679,0.00121679
5,761.062,0.99052,0.91342,1.29561,0.87481,0.94729,0.95284,0.72534,0.76972,0.53734,1.20303,0.00114606,0.00114606,0.00114606
6,906.542,0.96175,0.89408,1.27838,0.93757,0.95685,0.96895,0.76087,0.74053,0.47691,1.15915,0.00107532,0.00107532,0.00107532
7,1050.9,0.9453,0.8571,1.26633,0.9389,0.95163,0.96361,0.7661,0.69609,0.52367,1.1315,0.00100459,0.00100459,0.00100459
8,1195.69,0.92803,0.84365,1.25504,0.98188,0.9585,0.97628,0.77889,0.67517,0.39411,1.12075,0.000933851,0.000933851,0.000933851
9,1340.66,0.90868,0.825,1.24541,0.95001,0.95403,0.96791,0.772,0.69036,0.44654,1.14407,0.000863116,0.000863116,0.000863116
10,1487.21,0.88774,0.79955,1.22846,0.97718,0.98111,0.98669,0.82752,0.63053,0.37602,1.09245,0.00079238,0.00079238,0.00079238
11,1630.23,0.67807,0.44095,1.13169,0.95461,0.95239,0.96726,0.79884,0.63323,0.44958,1.07746,0.000721645,0.000721645,0.000721645
12,1769.92,0.65266,0.41881,1.11201,0.99155,0.99093,0.99309,0.82941,0.61788,0.34799,1.08096,0.000650909,0.000650909,0.000650909
13,1909.9,0.63518,0.40408,1.10167,0.97851,0.99148,0.98969,0.84187,0.56265,0.35556,1.02731,0.000580174,0.000580174,0.000580174
14,2049.89,0.60816,0.38674,1.08379,0.99186,0.99752,0.9947,0.83659,0.55583,0.33078,1.02088,0.000509438,0.000509438,0.000509438
15,2189.42,0.59061,0.38069,1.07093,0.9953,0.99667,0.99466,0.85449,0.5408,0.31101,1.01221,0.000438703,0.000438703,0.000438703
16,2328.52,0.56955,0.36326,1.05585,0.99417,0.99208,0.99406,0.86786,0.52641,0.31018,1.00649,0.000367967,0.000367967,0.000367967
17,2467.03,0.55357,0.3593,1.04224,0.99695,0.99807,0.99485,0.86896,0.50783,0.29303,0.98777,0.000297232,0.000297232,0.000297232
18,2605.01,0.53641,0.33932,1.03354,0.99749,0.99835,0.99493,0.86854,0.49776,0.28669,0.98282,0.000226497,0.000226497,0.000226497
19,2743.7,0.51655,0.33,1.0171,0.99833,0.9978,0.99491,0.87217,0.4824,0.27996,0.97203,0.000155761,0.000155761,0.000155761
20,2883.88,0.50192,0.32396,1.01075,0.99527,0.99615,0.99445,0.87673,0.4695,0.28059,0.96223,8.50255e-05,8.50255e-05,8.50255e-05
