epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1646,0.94932,0.749,1.26153,0,0,0,0,0,0,0,0.000470226,0.000470226,0.000470226
2,91.5462,0.96098,0.73239,1.2345,0,0,0,0,0,0,0,0.00085285,0.00085285,0.00085285
3,136.809,0.95646,0.73724,1.24611,0,0,0,0,0,0,0,0.00114116,0.00114116,0.00114116
4,182.719,0.96323,0.79545,1.24591,0,0,0,0,0,0,0,0.00100459,0.00100459,0.00100459
5,228.315,0.9231,0.7202,1.20528,0,0,0,0,0,0,0,0.000863116,0.000863116,0.000863116
6,275.068,0.9087,0.71939,1.20868,0,0,0,0,0,0,0,0.000721645,0.000721645,0.000721645
7,323.114,0.89573,0.68709,1.18714,0,0,0,0,0,0,0,0.000580174,0.000580174,0.000580174
8,377.277,0.85524,0.66134,1.16799,0,0,0,0,0,0,0,0.000438703,0.000438703,0.000438703
9,429.607,0.82652,0.635,1.14415,0,0,0,0,0,0,0,0.000297232,0.000297232,0.000297232
10,495.264,0.80026,0.62249,1.1389,0.98485,0.86222,0.92674,0.64204,0.81501,0.61443,1.11609,0.000155761,0.000155761,0.000155761
