epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2792,1.40161,1.26557,1.49915,0,0,0,0,0,0,0,0.000470226,0.000470226,0.000470226
2,95.4402,1.35606,1.31099,1.44974,0,0,0,0,0,0,0,0.000884087,0.000884087,0.000884087
3,142.587,1.33705,1.2875,1.44655,0,0,0,0,0,0,0,0.00123507,0.00123507,0.00123507
4,189.525,1.33987,1.2792,1.43553,0,0,0,0,0,0,0,0.00114606,0.00114606,0.00114606
5,238.305,1.31135,1.31083,1.42691,0,0,0,0,0,0,0,0.00105174,0.00105174,0.00105174
6,286.52,1.0304,0.85985,1.30342,0,0,0,0,0,0,0,0.00095743,0.00095743,0.00095743
7,334.359,1.00149,0.78097,1.26544,0,0,0,0,0,0,0,0.000863116,0.000863116,0.000863116
8,382.453,0.98239,0.73502,1.25505,0,0,0,0,0,0,0,0.000768802,0.000768802,0.000768802
9,431.081,0.95132,0.71997,1.23173,0,0,0,0,0,0,0,0.000674488,0.000674488,0.000674488
10,479.707,0.90673,0.73129,1.20633,0,0,0,0,0,0,0,0.000580174,0.000580174,0.000580174
11,529.775,0.87057,0.7037,1.1818,0,0,0,0,0,0,0,0.00048586,0.00048586,0.00048586
12,581.449,0.8756,0.66234,1.18446,0,0,0,0,0,0,0,0.000391546,0.000391546,0.000391546
13,635.351,0.84564,0.66074,1.16063,0,0,0,0,0,0,0,0.000297232,0.000297232,0.000297232
14,692.667,0.81777,0.62858,1.15102,0,0,0,0,0,0,0,0.000202918,0.000202918,0.000202918
15,765.741,0.78326,0.63431,1.12758,0.98438,0.86444,0.92773,0.70483,0.79755,0.60266,1.12095,0.000108604,0.000108604,0.000108604
