epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.766,0.92485,0.86752,1.25437,0.98755,0.99387,0.99334,0.84801,0.64029,0.37658,1.08455,0.000474428,0.000474428,0.000474428
2,333.26,0.92664,0.84099,1.25093,0.97476,0.98088,0.98608,0.8221,0.69062,0.45206,1.11201,0.000923868,0.000923868,0.000923868
3,485.195,0.95295,0.85403,1.25754,0.98645,0.98856,0.99105,0.82016,0.714,0.44227,1.13546,0.00134636,0.00134636,0.00134636
4,640.873,0.97656,0.88942,1.27852,0.98652,0.97054,0.98187,0.78974,0.79597,0.45739,1.18063,0.00130774,0.00130774,0.00130774
5,795.119,0.9594,0.87086,1.26443,0.95886,0.96167,0.97297,0.77696,0.79098,0.50294,1.21746,0.00126732,0.00126732,0.00126732
6,945.552,0.95559,0.8729,1.26514,0.949,0.95426,0.96641,0.79249,0.73093,0.48766,1.16888,0.0012269,0.0012269,0.0012269
7,1096.59,0.93412,0.84807,1.24824,0.94632,0.95384,0.96316,0.79798,0.71667,0.51316,1.12914,0.00118648,0.00118648,0.00118648
8,1248.76,0.92705,0.84092,1.24945,0.96263,0.97027,0.97351,0.81418,0.68211,0.46643,1.10801,0.00114606,0.00114606,0.00114606
9,1399.95,0.91908,0.82646,1.24186,0.97804,0.9818,0.98673,0.83329,0.65401,0.4275,1.095,0.00110564,0.00110564,0.00110564
10,1549.64,0.90271,0.81068,1.2289,0.98748,0.99071,0.99095,0.85178,0.63973,0.39646,1.07841,0.00106522,0.00106522,0.00106522
11,1704.67,0.88348,0.81793,1.22201,0.98901,0.99232,0.99304,0.84553,0.66812,0.37374,1.11628,0.0010248,0.0010248,0.0010248
12,1864.11,0.88815,0.80686,1.22765,0.98526,0.98914,0.99069,0.83658,0.69035,0.39031,1.15859,0.000984377,0.000984377,0.000984377
13,2020.88,0.88353,0.8022,1.21893,0.98905,0.99109,0.99257,0.84766,0.63291,0.38934,1.07942,0.000943957,0.000943957,0.000943957
14,2177.22,0.86064,0.77757,1.20544,0.95637,0.95826,0.96575,0.81967,0.66626,0.45499,1.10606,0.000903536,0.000903536,0.000903536
15,2332.82,0.862,0.7799,1.21235,0.99418,0.99582,0.99318,0.86835,0.59181,0.3528,1.04542,0.000863116,0.000863116,0.000863116
16,2487.31,0.84926,0.77461,1.20176,0.99192,0.99395,0.99273,0.8652,0.59772,0.37018,1.05703,0.000822696,0.000822696,0.000822696
17,2643.33,0.83562,0.75884,1.19699,0.98957,0.99357,0.99296,0.87044,0.60302,0.34561,1.0595,0.000782275,0.000782275,0.000782275
18,2798.95,0.82135,0.75333,1.18528,0.99591,0.99637,0.99387,0.87187,0.57446,0.35961,1.03125,0.000741855,0.000741855,0.000741855
19,2955.36,0.81521,0.75134,1.18026,0.99188,0.99516,0.99388,0.86725,0.60207,0.33928,1.08814,0.000701435,0.000701435,0.000701435
20,3106.56,0.81396,0.74416,1.18051,0.99632,0.99677,0.99489,0.8782,0.55797,0.34909,1.01924,0.000661015,0.000661015,0.000661015
21,3257.88,0.79682,0.73583,1.1748,0.9793,0.98669,0.98777,0.87273,0.5644,0.36025,1.02933,0.000620594,0.000620594,0.000620594
22,3408.49,0.79265,0.72851,1.16666,0.99713,0.99758,0.9944,0.88979,0.53475,0.31771,1.01289,0.000580174,0.000580174,0.000580174
23,3556.39,0.77713,0.71105,1.15144,0.99755,0.99756,0.99482,0.88393,0.55471,0.32858,1.03541,0.000539754,0.000539754,0.000539754
24,3702.71,0.77771,0.71866,1.15782,0.99283,0.99559,0.99355,0.88877,0.53413,0.3221,1.01472,0.000499333,0.000499333,0.000499333
25,3852.62,0.77074,0.70997,1.15409,0.99632,0.99678,0.99479,0.89461,0.52119,0.31977,0.99883,0.000458913,0.000458913,0.000458913
26,4000.64,0.5503,0.36203,1.04678,0.9947,0.99638,0.99441,0.89154,0.52933,0.3139,1.00275,0.000418493,0.000418493,0.000418493
27,4142.5,0.53499,0.34737,1.03664,0.99713,0.99798,0.99454,0.9029,0.49701,0.30179,0.98009,0.000378073,0.000378073,0.000378073
28,4284.62,0.52868,0.33957,1.03118,0.99919,0.99959,0.99496,0.90261,0.49911,0.30211,0.97856,0.000337652,0.000337652,0.000337652
29,4427.45,0.51135,0.33091,1.01528,0.99919,0.99959,0.99497,0.90684,0.48906,0.28917,0.98094,0.000297232,0.000297232,0.000297232
30,4570.84,0.50153,0.32167,1.01296,0.99795,0.99837,0.99484,0.90903,0.4865,0.2766,0.97924,0.000256812,0.000256812,0.000256812
31,4713.33,0.49104,0.31434,1.00872,0.99838,0.99878,0.99485,0.91107,0.47184,0.27983,0.95957,0.000216391,0.000216391,0.000216391
32,4855.4,0.48573,0.30902,1.0032,0.99632,0.99678,0.99492,0.90992,0.47854,0.27824,0.96929,0.000175971,0.000175971,0.000175971
33,5000.38,0.47274,0.30767,0.99153,0.99854,0.99919,0.99492,0.91416,0.46658,0.27379,0.96103,0.000135551,0.000135551,0.000135551
34,5144.53,0.46171,0.29963,0.98521,0.99592,0.99718,0.99478,0.91321,0.46374,0.27334,0.96151,9.51306e-05,9.51306e-05,9.51306e-05
35,5290.11,0.46124,0.29947,0.98962,0.99673,0.99798,0.99485,0.91814,0.45169,0.26889,0.95215,5.47103e-05,5.47103e-05,5.47103e-05
