epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4641,1.28521,1.1151,1.38413,0,0,0,0,0,0,0,0.000470226,0.000470226,0.000470226
2,95.2966,1.26804,1.1466,1.35645,0,0,0,0,0,0,0,0.000884087,0.000884087,0.000884087
3,142.919,1.31672,1.21644,1.39071,0,0,0,0,0,0,0,0.00123507,0.00123507,0.00123507
4,189.919,1.29269,1.1814,1.37349,0,0,0,0,0,0,0,0.00114606,0.00114606,0.00114606
5,238.229,1.27338,1.14055,1.36733,0,0,0,0,0,0,0,0.00105174,0.00105174,0.00105174
6,286.319,0.90602,0.81144,1.2014,0,0,0,0,0,0,0,0.00095743,0.00095743,0.00095743
7,334.1,0.87204,0.74767,1.17614,0,0,0,0,0,0,0,0.000863116,0.000863116,0.000863116
8,382.318,0.82154,0.70598,1.15086,0,0,0,0,0,0,0,0.000768802,0.000768802,0.000768802
9,430.521,0.811,0.68592,1.13528,0,0,0,0,0,0,0,0.000674488,0.000674488,0.000674488
10,479.176,0.78087,0.64847,1.11847,0,0,0,0,0,0,0,0.000580174,0.000580174,0.000580174
11,528.723,0.74885,0.62866,1.09704,0,0,0,0,0,0,0,0.00048586,0.00048586,0.00048586
12,581.213,0.71982,0.62455,1.06825,0,0,0,0,0,0,0,0.000391546,0.000391546,0.000391546
13,634.244,0.69197,0.58907,1.07311,0,0,0,0,0,0,0,0.000297232,0.000297232,0.000297232
14,688.893,0.6729,0.5836,1.06529,0,0,0,0,0,0,0,0.000202918,0.000202918,0.000202918
15,758.372,0.64057,0.5735,1.03926,1,0.79111,0.89553,0.76358,0.63723,0.55655,1.00437,0.000108604,0.000108604,0.000108604
