epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7561,1.48413,2.7314,1.66876,0,0,0,0,0,0,0,0.000470226,0.000470226,0.000470226
2,91.4558,1.2495,1.97405,1.4623,0,0,0,0,0,0,0,0.00085285,0.00085285,0.00085285
3,135.191,1.17961,1.60835,1.40823,0,0,0,0,0,0,0,0.00114116,0.00114116,0.00114116
4,228.492,1.12376,1.32349,1.33781,0,0,0,0,0,0,0,0.00100459,0.00100459,0.00100459
5,273.818,1.05758,1.18572,1.28941,0,0,0,0,0,0,0,0.000863116,0.000863116,0.000863116
6,320.608,1.01789,1.07686,1.2632,0,0,0,0,0,0,0,0.000721645,0.000721645,0.000721645
7,367.951,0.95458,1.00317,1.22489,0,0,0,0,0,0,0,0.000580174,0.000580174,0.000580174
8,415.925,0.89128,0.90633,1.17203,0,0,0,0,0,0,0,0.000438703,0.000438703,0.000438703
9,464.218,0.84512,0.84829,1.14525,0,0,0,0,0,0,0,0.000297232,0.000297232,0.000297232
10,541.254,0.77537,0.79133,1.11161,0.91944,0.91773,0.99042,0.77284,0.74867,0.76485,1.06128,0.000155761,0.000155761,0.000155761
