epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.101,1.53101,2.37351,1.68284,1,1,0.995,0.84052,1.25111,2.8219,1.72946,0.00110033,0.00110033,0.00110033
2,166.189,1.41828,1.8126,1.57565,1,1,0.995,0.84881,1.29557,2.91157,1.72151,0.00142029,0.00142029,0.00142029
3,269.917,1.36377,1.67522,1.52894,1,0.94842,0.97246,0.8579,1.1223,1.4724,1.48362,0.00139438,0.00139438,0.00139438
4,374.507,1.29842,1.52365,1.46899,1,0.98633,0.99113,0.87357,1.02294,1.36068,1.3691,0.0013519,0.0013519,0.0013519
5,504.478,1.27226,1.43008,1.45973,0.8705,0.7144,0.85913,0.67334,1.00174,1.22321,1.33553,0.00129391,0.00129391,0.00129391
6,612.074,1.25177,1.41526,1.4478,0.96634,0.97015,0.98107,0.78748,1.05594,1.17711,1.40002,0.00122182,0.00122182,0.00122182
7,722.873,1.22836,1.39595,1.42254,0.98435,0.98506,0.995,0.77597,0.96346,1.13664,1.31309,0.00113742,0.00113742,0.00113742
8,830.531,1.17197,1.3222,1.3833,0.79783,0.90616,0.90209,0.53982,0.92461,1.14422,1.27833,0.00104278,0.00104278,0.00104278
9,916.171,1.1463,1.32112,1.37247,0.79873,0.8904,0.90853,0.5669,0.94628,1.06062,1.28534,0.00094023,0.00094023,0.00094023
10,1000.1,1.13036,1.30567,1.3583,0.96602,0.98428,0.99093,0.70138,0.90207,1.03446,1.27227,0.0008323,0.0008323,0.0008323
11,1085.84,0.89806,1.07808,1.27966,0.88258,0.95997,0.9669,0.5976,0.82831,1.1107,1.19586,0.000721645,0.000721645,0.000721645
12,1171,0.8652,1.0238,1.26672,0.9444,0.9876,0.99221,0.61469,0.85426,1.01354,1.20512,0.00061099,0.00061099,0.00061099
13,1247.04,0.83306,0.99229,1.2241,0.93394,0.98012,0.9898,0.6089,0.83539,1.03282,1.19699,0.00050306,0.00050306,0.00050306
14,1325.22,0.81486,0.98293,1.21644,0.87387,0.95007,0.97028,0.64574,0.76318,1.02967,1.14138,0.000400513,0.000400513,0.000400513
15,1404.1,0.78215,0.97108,1.19435,0.83428,0.94678,0.96999,0.65651,0.77456,1.00254,1.14458,0.000305872,0.000305872,0.000305872
16,1484.52,0.77054,0.97579,1.18219,0.8782,0.95899,0.9769,0.65744,0.74845,1.01687,1.12854,0.000221469,0.000221469,0.000221469
17,1564.51,0.75976,0.96132,1.17187,0.86228,0.95424,0.97725,0.65753,0.76829,1.00307,1.14496,0.000149383,0.000149383,0.000149383
18,1644.65,0.74182,0.95006,1.16966,0.86336,0.97071,0.97532,0.6534,0.7455,0.99649,1.12839,9.13871e-05,9.13871e-05,9.13871e-05
19,1724.66,0.74141,0.95181,1.16027,0.88676,0.9653,0.97819,0.65821,0.73882,0.98924,1.11774,4.89104e-05,4.89104e-05,4.89104e-05
20,1838.56,0.74112,0.93099,1.16358,0.89246,0.97204,0.98094,0.66283,0.74484,0.98639,1.12412,2.29987e-05,2.29987e-05,2.29987e-05
