epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.936,0.8165,0.77848,1.18246,0.95415,0.95831,0.96685,0.85291,0.57101,0.41135,1.01233,0.000474644,0.000474644,0.000474644
2,377.914,0.83907,0.77066,1.19062,0.9956,0.99066,0.99329,0.85712,0.63403,0.36503,1.05832,0.000921557,0.000921557,0.000921557
3,543.109,0.85656,0.77885,1.19463,0.99712,0.99292,0.99277,0.85013,0.64775,0.38172,1.07106,0.001339,0.001339,0.001339
4,707.174,0.88348,0.80607,1.2129,0.97388,0.98212,0.98147,0.82398,0.69093,0.42383,1.10562,0.00129637,0.00129637,0.00129637
5,870.05,0.87169,0.79071,1.20953,0.95704,0.95528,0.96554,0.80913,0.69405,0.47049,1.11033,0.00125216,0.00125216,0.00125216
6,1034.1,0.86372,0.79731,1.20329,0.9935,0.99573,0.99369,0.85374,0.65144,0.38408,1.06456,0.00120795,0.00120795,0.00120795
7,1196.66,0.85912,0.78587,1.19786,0.98423,0.97305,0.98077,0.84471,0.62079,0.4211,1.04395,0.00116374,0.00116374,0.00116374
8,1363.86,0.84358,0.77573,1.18606,0.99366,0.99436,0.99189,0.86166,0.62288,0.37824,1.05578,0.00111953,0.00111953,0.00111953
9,1528.18,0.83508,0.77092,1.18169,0.97318,0.98094,0.98375,0.85956,0.61233,0.37224,1.03033,0.00107532,0.00107532,0.00107532
10,1692.45,0.83467,0.76906,1.18168,0.99028,0.99038,0.99246,0.8615,0.63643,0.35693,1.05259,0.00103111,0.00103111,0.00103111
11,1856.1,0.83177,0.76499,1.18548,0.9942,0.9964,0.99411,0.87005,0.59785,0.3571,1.02781,0.000986903,0.000986903,0.000986903
12,2026.56,0.81596,0.75237,1.17075,0.99267,0.98903,0.99103,0.87492,0.55689,0.35219,1.00132,0.000942693,0.000942693,0.000942693
13,2193.61,0.80544,0.74426,1.16599,0.99129,0.98906,0.99109,0.86722,0.60804,0.3437,1.05455,0.000898484,0.000898484,0.000898484
14,2360.37,0.79589,0.73399,1.16191,0.98989,0.9922,0.99101,0.877,0.56651,0.35689,1.00372,0.000854274,0.000854274,0.000854274
15,2526.74,0.78572,0.73576,1.15375,0.99561,0.99859,0.99479,0.88678,0.54547,0.32886,0.99587,0.000810064,0.000810064,0.000810064
16,2693.65,0.78803,0.72352,1.15777,0.99709,0.99785,0.99486,0.88912,0.54086,0.31891,0.994,0.000765855,0.000765855,0.000765855
17,2860.15,0.77451,0.71908,1.14917,0.99485,0.99856,0.9946,0.89102,0.53997,0.32896,0.98765,0.000721645,0.000721645,0.000721645
18,3023.05,0.77018,0.71654,1.14886,0.99196,0.99412,0.99433,0.88889,0.53655,0.33077,0.98311,0.000677435,0.000677435,0.000677435
19,3188.75,0.75857,0.71372,1.14305,0.99712,0.99785,0.99468,0.89564,0.52487,0.30713,0.98457,0.000633226,0.000633226,0.000633226
20,3356.3,0.74784,0.71306,1.13405,0.99487,0.99776,0.99465,0.89518,0.52199,0.31449,0.99017,0.000589016,0.000589016,0.000589016
21,3522.35,0.7434,0.69851,1.13214,0.99709,0.9993,0.99473,0.90236,0.50409,0.30985,0.96739,0.000544806,0.000544806,0.000544806
22,3688.03,0.73388,0.68847,1.12685,0.99707,0.99785,0.99444,0.9027,0.49523,0.29886,0.9612,0.000500597,0.000500597,0.000500597
23,3850.5,0.5252,0.35831,1.02136,0.99856,0.99856,0.99444,0.91022,0.48559,0.30279,0.95223,0.000456387,0.000456387,0.000456387
24,4006.51,0.51325,0.33987,1.01309,0.99564,0.99859,0.99469,0.91242,0.48189,0.28954,0.95004,0.000412177,0.000412177,0.000412177
25,4164.6,0.5047,0.33803,1.00617,0.99856,0.99926,0.99472,0.90897,0.49198,0.27521,0.95999,0.000367967,0.000367967,0.000367967
26,4323.25,0.49756,0.32627,1.00402,0.9978,0.99859,0.99444,0.9144,0.46369,0.29257,0.93897,0.000323758,0.000323758,0.000323758
27,4481.09,0.48865,0.31865,0.99958,0.99859,0.99856,0.99453,0.91531,0.46629,0.2735,0.94179,0.000279548,0.000279548,0.000279548
28,4641.1,0.47351,0.31617,0.9901,0.99638,0.99789,0.99431,0.9164,0.45779,0.27951,0.93994,0.000235338,0.000235338,0.000235338
29,4801.05,0.46357,0.30424,0.98118,0.99709,0.99785,0.99428,0.91711,0.45335,0.2726,0.93317,0.000191129,0.000191129,0.000191129
30,4959.84,0.45571,0.30604,0.97582,0.99634,0.99714,0.99382,0.92003,0.44457,0.27185,0.93093,0.000146919,0.000146919,0.000146919
31,5117.44,0.44732,0.29939,0.9735,0.99782,0.99926,0.99483,0.92178,0.43767,0.26722,0.92576,0.000102709,0.000102709,0.000102709
32,5274.76,0.44163,0.29258,0.96658,0.99782,0.99926,0.99476,0.92245,0.44122,0.26061,0.92904,5.84997e-05,5.84997e-05,5.84997e-05
